island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
2,2,5,clearance_reject,1.0e9,16,6,2,1.312,1.312,25.0,201.60204292115372,3156.962176742107,2224.412579644859,0.7046053943986075
2,2,6,reject,1.0e9,12,5,2,1.305,1.305,25.0,151.59038948455455,2373.8108950984656,2224.412579644859,0.9370639355636584
2,2,7,reject_twist,1.0e9,14,6,2,0.944,0.944,25.0,176.28365584191005,2760.492035729952,2224.412579644859,0.8058029332646349
2,2,8,reject,1.0e9,16,18,3,1.04,1.04,25.0,203.7565532444779,3190.700463822834,2224.412579644859,0.6971549366247157
2,2,9,reject,1.0e9,16,16,3,1.198,1.198,25.0,205.81471292772494,3222.929960010269,2224.412579644859,0.6901833447344823
2,2,10,reject,1.0e9,8,10,1,0.705,0.705,25.0,103.11942944977598,1614.7859106144515,2224.412579644859,1.377527859899666
2,3,1,ok,-1.436,14,5,2,1.44,1.44,25.0,177.33847440293553,2777.0098361065357,2224.412579644859,0.801009975090172
2,3,2,ok,1.813,9,5,2,0.981,0.981,25.0,115.29646189224086,1805.4706392451922,2224.412579644859,1.2320402953629932
2,3,3,clearance_reject,1.0e9,16,4,2,1.792,1.5,25.0,201.03149941129362,3148.02782144136,2224.412579644859,0.7066051209885389
2,3,4,clearance_reject,1.0e9,13,4,2,1.288,1.288,25.0,164.10012785709088,2569.7055909596684,2224.412579644859,0.8656293497085562
2,3,5,clearance_reject,1.0e9,5,5,2,1.239,1.239,25.0,67.21269285213054,1052.508824100295,2224.412579644859,2.1134384137314286
2,3,6,reject_twist,1.0e9,12,6,2,0.785,0.785,25.0,151.7914744293254,2376.9597598408836,2224.412579644859,0.935822565121491
2,3,7,clearance_reject,1.0e9,14,4,2,1.735,1.5,25.0,177.17171557431482,2774.398496920854,2224.412579644859,0.801763907424837
2,3,8,reject,1.0e9,15,21,2,0.866,0.866,25.0,189.79656081877548,2972.095694560724,2224.412579644859,0.7484323548921352
2,3,9,reject,1.0e9,5,13,1,0.7,0.7,25.0,66.80476333729743,1046.1209024778511,2224.412579644859,2.1263436896979075
2,3,10,reject,1.0e9,16,13,1,1.46,1.46,25.0,200.6632622345895,3142.2614570629007,2224.412579644859,0.7079018121312021
2,4,1,clearance_reject,1.0e9,7,7,2,1.009,1.009,25.0,91.49462430501607,1432.7487168328535,2224.412579644859,1.552548994468485
2,4,2,ok,4.951,3,7,2,0.7,0.7,25.0,42.56587243271556,666.5549978710679,2224.412579644859,3.337177857415343
2,4,3,ok,5.826,15,3,1,1.905,1.5,25.0,188.73405861307302,2955.457573103693,2224.412579644859,0.7526457493040164
2,4,4,ok,5.274,13,6,2,0.905,0.905,25.0,163.89935538561807,2566.56161935409,2224.412579644859,0.8666897232744649
2,4,5,ok,-5.163,14,7,1,1.236,1.236,25.0,175.7350334109191,2751.900950843833,2224.412579644859,0.8083185475708248
2,4,6,ok,4.91,4,7,2,0.7,0.7,25.0,55.114236052471114,863.0545409985561,2224.412579644859,2.5773719666328483
2,4,7,reject,1.0e9,16,10,1,1.024,1.024,25.0,201.90833196947582,3161.7584720905697,2224.412579644859,0.703536528574261
2,4,8,reject,1.0e9,9,22,2,0.7,0.7,25.0,116.37867382562189,1822.4174027372621,2224.412579644859,1.2205834823042196
2,4,9,reject,1.0e9,5,13,1,0.7,0.7,25.0,66.66989158866522,1044.0088950647644,2224.412579644859,2.130645236989929
2,4,10,reject,1.0e9,6,22,2,0.707,0.707,25.0,79.89736956867817,1251.14294525354,2224.412579644859,1.7779044257761363
2,5,1,reject,1.0e9,3,21,2,0.7,0.7,25.0,43.333302300044274,678.5724706573259,2224.412579644859,3.278076662158272
2,5,2,reject,1.0e9,6,15,1,1.241,1.241,25.0,79.21196514618178,1240.4099397430791,2224.412579644859,1.793288257675194
2,5,3,clearance_reject,1.0e9,3,8,2,0.7,0.7,25.0,42.739836253912,669.2791627440077,2224.412579644859,3.3235945528692237
2,5,4,ok,-1.389,10,4,1,1.587,1.5,25.0,128.4597591928208,2011.5996600477984,2224.412579644859,1.105792879082115
2,5,5,reject,1.0e9,14,9,2,0.956,0.956,25.0,176.40005056459086,2762.314704447746,2224.412579644859,0.8052712372211671
2,5,6,ok,-3.546,9,4,1,1.495,1.495,25.0,116.74355770894884,1828.131256634152,2224.412579644859,1.2167685288310846
2,5,7,reject,1.0e9,13,18,1,1.024,1.024,25.0,164.24239594176436,2571.933420379271,2224.412579644859,0.8648795346019631
2,5,8,reject,1.0e9,3,11,2,0.7,0.7,25.0,42.81042865148963,670.3845956349097,2224.412579644859,3.3181141006650905
2,5,9,ok,-3.016,13,7,1,0.7,0.7,25.0,164.8039332666739,2580.7267444442546,2224.412579644859,0.861932625929319
2,5,10,reject,1.0e9,3,16,1,0.7,0.7,25.0,42.54379831133198,666.2093309061751,2224.412579644859,3.3389093734535695
2,6,1,ok,-6.918,3,9,1,0.914,0.914,25.0,42.19379831133198,660.7285493334809,2224.412579644859,3.366605820028158
2,6,2,ok,7.783,4,6,2,0.981,0.981,25.0,55.285620243546745,865.7383104736945,2224.412579644859,2.5693821709562057
2,6,3,ok,-6.661,3,5,1,1.108,1.108,25.0,41.993798311331986,657.5966741490844,2224.412579644859,3.3826396438564714
2,6,4,clearance_reject,1.0e9,8,13,2,0.7,0.7,25.0,103.87281211812531,1626.5834130312405,2224.412579644859,1.3675367410144224
2,6,5,reject,1.0e9,11,9,2,0.949,0.949,25.0,142.23235753861488,2227.2699549670697,2224.412579644859,0.9987170951972667
2,6,6,reject,1.0e9,3,15,2,0.7,0.7,25.0,42.80858449163852,670.355717242541,2224.412579644859,3.3182570423876094
2,6,7,reject,1.0e9,13,5,1,1.022,1.022,25.0,163.37333243858032,2558.324428282837,2224.412579644859,0.8694802563167872
2,6,8,reject,1.0e9,3,11,1,0.7,0.7,25.0,42.29379831133198,662.2944869256793,2224.412579644859,3.358645773982527
2,6,9,reject,1.0e9,13,6,1,0.903,0.903,25.0,164.73361513812512,2579.6256064351783,2224.412579644859,0.8623005501634815
